Feature,Importance
capital.gain,0.1698979526080453
marital.status_Married-civ-spouse,0.16358272397799353
education.num,0.11679675435527898
marital.status_Never-married,0.07337082645874393
age,0.07032844554841246
hours.per.week,0.03895307444628032
capital.loss,0.0387890279125989
relationship_Own-child,0.03664184172175164
sex_Male,0.032376525950862545
occupation_Exec-managerial,0.03225208671722166
relationship_Not-in-family,0.030412518000439818
occupation_Prof-specialty,0.025038704899536475
education_Bachelors,0.022549750689086462
relationship_Unmarried,0.01775529258898681
relationship_Wife,0.015949050822335855
education_Masters,0.012428575268996893
fnlwgt,0.011041947853835398
education_Doctorate,0.008968487798939885
education_Prof-school,0.008735721064945372
occupation_Other-service,0.00871847401059435
education_HS-grad,0.007900094436968487
workclass_Self-emp-inc,0.0048407587936786095
workclass_Self-emp-not-inc,0.003025734345294974
education_Some-college,0.0026663591995263946
occupation_Farming-fishing,0.0026436001538581925
workclass_Private,0.002522244982063033
race_White,0.002372017604293701
marital.status_Widowed,0.0020791180610680604
education_11th,0.0020430441590033213
marital.status_Separated,0.0019139465877010898
native.country_United-States,0.0017580196447978436
occupation_Adm-clerical,0.0017159309662401207
workclass_Federal-gov,0.0016698624449284615
race_Black,0.001636391512444132
occupation_Tech-support,0.0015741365343319206
relationship_Other-relative,0.0015716950494327928
occupation_Handlers-cleaners,0.001529103718167981
occupation_Sales,0.0014897332835763738
education_7th-8th,0.0014092110659840041
native.country_Mexico,0.001337248285694498
workclass_Local-gov,0.0012471579814173077
occupation_Craft-repair,0.0011986301670907243
occupation_Machine-op-inspct,0.00117143480567895
occupation_Transport-moving,0.001170935544885963
workclass_State-gov,0.0011222784595921493
race_Asian-Pac-Islander,0.000984206001167467
education_9th,0.0009737615996458846
education_Assoc-voc,0.000933293588555347
occupation_Protective-serv,0.0006747092201128503
education_Assoc-acdm,0.0006589508601115093
marital.status_Married-spouse-absent,0.0006280428870424594
education_5th-6th,0.0006201981202503446
native.country_India,0.0004432396721503585
native.country_England,0.0004289195234064872
native.country_South,0.0003869289876845461
native.country_Philippines,0.0003554477150816665
native.country_Canada,0.00031484906442335556
marital.status_Married-AF-spouse,0.00031087895016928613
race_Other,0.0003022614951472382
native.country_China,0.0003012143347855099
native.country_Italy,0.00029978099436843333
native.country_Germany,0.00024618493713832716
native.country_Iran,0.00024266842572819678
native.country_Japan,0.0002155258210362284
native.country_Cambodia,0.00020394075122104834
native.country_France,0.00018478218243114157
education_12th,0.00017247556510497944
native.country_Jamaica,0.00016253178818815574
native.country_Portugal,0.00013622821747309466
native.country_Yugoslavia,0.00013236040805364173
native.country_Ireland,0.00012884942230281818
native.country_Puerto-Rico,0.000125813840936262
native.country_Greece,0.00010738046780121304
native.country_Poland,0.00010287336731348914
native.country_Dominican-Republic,9.498602795386142e-05
native.country_Vietnam,9.351731234198288e-05
native.country_Cuba,9.190656160714731e-05
education_1st-4th,8.983903756478894e-05
native.country_Hungary,7.497500214421526e-05
native.country_Ecuador,7.103280882481944e-05
native.country_Taiwan,6.644220176680878e-05
native.country_Columbia,5.975347069595785e-05
education_Preschool,5.602913796890467e-05
native.country_Thailand,4.8293489092946597e-05
native.country_Haiti,4.822604145007423e-05
native.country_Nicaragua,4.817699253023288e-05
native.country_Hong,4.572287894524495e-05
native.country_El-Salvador,3.8118523394972894e-05
occupation_Priv-house-serv,3.0969678060443345e-05
workclass_Without-pay,1.6939700229995174e-05
native.country_Peru,1.3571976795450492e-05
native.country_Guatemala,1.0329843025062929e-05
native.country_Scotland,1.0173351123383863e-05
native.country_Laos,4.323379123378028e-06
native.country_Trinadad&Tobago,4.290848687307726e-06
native.country_Honduras,3.4118048778815583e-06
native.country_Outlying-US(Guam-USVI-etc),2.4590131785605506e-06
occupation_Armed-Forces,1.7422271795749804e-06
workclass_Never-worked,0.0
native.country_Holand-Netherlands,0.0
